scheme_code,months,years,total_invested,final_value,gain,cagr_percent,scheme_name,category,daily_return_std,sharpe_ratio,max_drawdown,category_volatility_pct,category_risk_tier,log_total_invested
100033,132,11.0,132000.0,257959.2479557669,125959.24795576691,6.280226205246842,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND -,mid_cap,0.1369765979111748,0.5571216227522449,-0.3960087515746204,0.31976744186046513,medium,11.790564777297387
100034,132,11.0,132000.0,166722.58224277772,34722.58224277772,2.145689698296782,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND - -,mid_cap,0.1535702826100936,0.05695021116815824,-0.49715566281675566,0.7151162790697675,medium,11.790564777297387
100080,132,11.0,132000.0,160967.11482535506,28967.114825355064,1.819983139024317,DSP FLEXI CAP FUND - -,multi_cap,0.1537329318791135,0.1463906878190967,-0.5854161003733959,0.8515625,high,11.790564777297387
100176,132,11.0,132000.0,469918.6216542071,337918.6216542071,12.235876417357415,QUANT SMALL CAP FUND - -,small_cap,0.17445095000011762,0.7832741362596491,-0.6701545902442093,0.803030303030303,high,11.790564777297387
100177,132,11.0,132000.0,478430.2678026924,346430.2678026924,12.419184032262145,QUANT SMALL CAP FUND - -,small_cap,0.17445182876893847,0.7828401131142196,-0.5206041175920335,0.8181818181818182,high,11.790564777297387
100218,132,11.0,132000.0,184092.09491193364,52092.09491193365,3.070133166201505,JM LARGE CAP FUND ( ) -,large_cap,0.13672432137800347,0.637962409741635,-0.5903011125706698,0.7758620689655172,high,11.790564777297387
100219,132,11.0,132000.0,268392.3824701646,136392.38247016462,6.663993908263732,JM LARGE CAP FUND ( ) -,large_cap,0.1367252990796473,0.6380242972674548,-0.20844517017910905,0.7844827586206896,high,11.790564777297387
100312,132,11.0,132000.0,234780.16179017667,102780.16179017667,5.374426553727529,LIC MF FLEXI CAP FUND- -,multi_cap,0.13904517492532262,0.5391807597761222,-0.34274508888447935,0.625,medium,11.790564777297387
100313,132,11.0,132000.0,247937.12966714788,115937.12966714788,5.898050969072788,LIC MF FLEXI CAP FUND- -,multi_cap,0.13875345439943865,0.600395747734545,-0.3427442306443418,0.609375,medium,11.790564777297387
100332,132,11.0,132000.0,225448.62824697944,93448.62824697944,4.986623774650023,LIC MF LARGE CAP FUND- -,large_cap,0.1236019034006682,0.41878985808089575,-0.3711826989902294,0.39655172413793105,medium,11.790564777297387
100348,132,11.0,132000.0,202669.60780565577,70669.60780565577,3.974923311429701,ICICI PRUDENTIAL LARGE & MID CAP FUND -,mid_cap,0.14141848258150502,0.324988369329538,-0.4935560859188544,0.4127906976744186,medium,11.790564777297387
100349,132,11.0,132000.0,360780.68994229886,228780.6899422989,9.571400824877374,ICICI PRUDENTIAL LARGE & MID CAP FUND -,mid_cap,0.11386445401126945,1.1642222553665422,-0.37840740848259646,0.005813953488372093,low,11.790564777297387
100470,132,11.0,132000.0,159697.09883007,27697.09883007,1.7466880397404516,FRANKLIN INDIA LARGE CAP FUND -,large_cap,0.14769684166238004,-0.08924911813735233,-0.505443058409798,0.9310344827586207,high,11.790564777297387
100471,132,11.0,132000.0,269431.2250077603,137431.22500776028,6.7014602955496105,FRANKLIN INDIA LARGE CAP FUND-,large_cap,0.11476677342541843,0.7083274448469333,-0.36565008515310354,0.12931034482758622,low,11.790564777297387
