scheme_code,scheme_name
100477,Taurus Mid Cap Fund - Regular Plan - Growth
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth
100493,Franklin India Government Securities Fund - Growth
100494,Franklin India Government Securities Fund - IDCW
100496,Templeton India Value Fund - Growth Plan
100497,Templeton India Value Fund - IDCW
100498,Franklin India Dynamic Accrual Fund - IDCW
100499,Franklin India Dynamic Accrual Fund-Growth
100503,Franklin India Low Duration Fund - Monthly - IDCW
100504,Franklin India Low Duration Fund - Quarterly - IDCW
100519,Franklin India Flexi Cap Fund - IDCW
100520,Franklin India Flexi Cap Fund - Growth
100521,Franklin India Technology Fund - IDCW
100522,Franklin India Technology Fund-Growth
100524,Franklin INDIA OPPORTUNITIES FUND - IDCW
100525,Franklin India ELSS Tax Saver Fund - IDCW
100526,Franklin India ELSS Tax Saver Fund-Growth
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW
100528,Franklin India Corporate Debt Fund - Growth
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW
100535,Franklin India Retirement Fund - IDCW
100536,Franklin India Retirement Fund - Growth
100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW
100538,Franklin India Liquid Fund - Regular Plan - Growth
100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth
100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW
100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW
100549,Franklin India Aggressive Hybrid Fund - IDCW
100550,Franklin India Aggressive Hybrid Fund - Growth Plan
100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout)
100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION
100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION
100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW)
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Growth
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth
100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Income Distribution cum Capital Withdrawal(IDCW)
100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Income Distribution cum Capital Withdrawal (IDCW)
100614,Sundaram Value Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
100630,quant Multi Cap Fund-IDCW Option - Regular Plan
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan
100638,SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW)
100639,SBI Magnum Income Fund-REGULAR PLAN-Growth
100640,SBI Magnum Income Fund-REGULAR PLAN-Bonus
100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH
100643,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
100644,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
100645,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
100646,UTI - Unit Linked Insurance Plan
100650,UTI Large Cap Fund - Regular Plan - IDCW
100651,UTI Large Cap Fund - Regular Plan - Growth Option
100663,UTI Large & Mid Cap Fund - Regular Plan - IDCW
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option
100668,UTI Flexi Cap Fund - Regular Plan - IDCW
100669,UTI - Flexi Cap Fund-Growth Option
100678,UTI Children's Hybrid Fund - Regular Plan
100682,UTI Retirement Fund - Regular Plan
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth
100685,UTI Aggressive Hybrid Fund - Regular Plan - IDCW
100723,UTI MMF-Discontinued - Regular Plan -Growth
100724,UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option
100725,UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option
100739,UTI MNC Fund - Regular Plan - IDCW
100740,UTI - MNC Fund - Regular Plan - Growth Option
100741,UTI Medium to Long Duration Fund- Regular Plan - Growth
100742,UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth
100785,Sundaram Corporate Bond Fund Regular Plan -Income Distribution cum Capital Withdrawal(IDCW)
100786,Sundaram Corporate Bond Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW )
100787,Sundaram Corporate Bond Fund Regular Plan-Income Distribution cum Capital Withdrawal (IDCW)
100788,Sundaram Corporate Bond Fund Regular Plan- Income Distribution cum Capital Withdrawal (IDCW)
100789,Sundaram Corporate Bond Fund Regular Plan- Growth
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
100794,Sundaram Small Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
100795,Sundaram Small Cap Fund Regular Plan - Growth
100806,UTI Healthcare Fund - Regular Plan - IDCW
100807,UTI Healthcare Fund - Regular Plan - Growth Option
100813,UTI Overnight Fund - Regular Plan - Periodic IDCW
100814,UTI - Overnight  Fund - Regular Plan - Growth Option
100820,UTI ELSS Tax Saver Fund - Regular Plan - IDCW
100821,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option
100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option
100823,UTI Nifty 50 Index Fund - Regular Plan - IDCW
100833,Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option
100835,Kotak Liquid Fund - Regular Plan - Growth
100837,Nippon India Liquid Fund - Retail Option - Growth Plan
100838,NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION
100842,NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION
100843,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION
100844,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION
100851,Nippon India Liquid Fund -Growth Plan
100852,NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION
100853,NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option
100857,NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option
100858,NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option
100859,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option
100864,LIC MF ELSS Tax Saver-Regular Plan-IDCW
100865,LIC MF ELSS Tax Saver-Regular Plan-Growth
100868,HDFC Liquid Fund - Growth Plan
