scheme_code,scheme_name
111754,NIPPON INDIA LOW DURATION FUND - WEEKLY IDCW Option
111777,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan)
111786,DSP Strategic Bond Fund - Regular Plan - IDCW - Daily
111787,Taurus Ethical Fund - Regular Plan - Growth
111788,Taurus Ethical Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
111803,Aditya Birla Sun Life Medium Term Plan - Growth - Regular Plan
111809,Aditya Birla Sun Life Medium Term Plan - REGULAR - Quarterly IDCW
111811,Aditya Birla Sun Life Medium Term Plan - REGULAR - HALFYEARLY IDCW
111812,Aditya Birla Sun Life Medium Term Plan - Regular - IDCW
111848,Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth
111903,Taurus Ethical Fund -  Regular Plan - Bonus Option
111935,Edelweiss Large Cap Fund -Plan B - Growth option
111936,Edelweiss Large Cap Fund - Regular Plan - IDCW Option
111937,Edelweiss Large Cap Fund -Plan C - Growth option
111938,Edelweiss Large Cap Fund - Plan B - IDCW Option
111939,Edelweiss Large Cap Fund - Plan C - IDCW Option
111940,Edelweiss Large Cap Fund - Regular Plan - Growth Option
111954,SBI Gold ETF
111957,ICICI Prudential Focused Equity Fund - Growth
111958,ICICI Prudential Focused Equity Fund - IDCW
111962,CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - GROWTH OPTION
111963,CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
111970,BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Daily IDCW
111971,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW
111987,ICICI Prudential Corporate Bond Fund - Growth
111988,ICICI Prudential Corporate Bond Fund - Daily IDCW
111989,ICICI Prudential Corporate Bond Fund - Weekly IDCW
111990,ICICI Prudential Corporate Bond Fund - Fortnightly IDCW
111991,ICICI Prudential Corporate Bond Fund - Monthly IDCW
111992,ICICI Prudential Corporate Bond Fund -Quarterly IDCW
112012,Edelweiss Aggressive Hybrid Fund- Plan B-Growth Option
112013,Edelweiss Aggressive Hybrid Fund  - Plan B - IDCW Option
112014,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan
112016,Aditya Birla Sun Life Savings Fund - Discipline Advantage Plan
112025,Baroda Treasury Advantage Fund- Regular Plan - Daily IDCW Option
112026,Baroda Treasury Advantage Fund- Regular Plan - Weekly IDCW Option
112027,Baroda Treasury Advantage Fund- Regular Plan - Monthly IDCW Option
112029,Baroda Treasury Advantage Fund- Plan A- Growth Option
112031,Baroda Treasury Advantage Fund- Regular Plan - Growth Option
112032,Baroda Treasury Advantage Fund- Plan A- Daily IDCW Option
112033,Baroda Treasury Advantage Fund- Plan A- Weekly IDCW Option
112034,Baroda Treasury Advantage Fund- Plan A- Quarterly IDCW Option
112035,Baroda Treasury Advantage Fund- Plan A- Monthly IDCW Option
112038,Quantum Diversified Equity All Cap Active FOF - Direct Plan IDCW
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option
112076,UTI Money Market Fund - Regular Plan - Daily IDCW (Reinvestment)
112077,UTI MMF - Regular Plan - Growth Option
112083,UTI Ultra Short Duration Fund - Discontinued - INSTN GROWTH OPTION
112087,Aditya Birla Sun Life Arbitrage Fund-Regular - IDCW
112088,Aditya BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH
112089,Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option
112090,Kotak Flexicap Fund - Growth
112092,Franklin Build India Fund Growth Plan
112093,Franklin Build India Fund - IDCW
112096,ICICI Prudential All Seasons Bond Fund - Growth
112097,ICICI Prudential All Seasons Bond Fund - IDCW
112098,Invesco India Largecap Fund - Regular Plan - Growth
112099,Invesco India Largecap Fund - Regular Plan - IDCW (Payout / Reinvestment)
112108,Edelweiss Aggressive Hybrid Fund - Regular Plan - Growth Option
112109,Edelweiss Aggressive Hybrid Fund - Regular Plan - IDCW Option
112117,Edelweiss Balanced Advantage Fund - Regular Plan - Growth Option
112118,Edelweiss Balanced Advantage Fund - Regular Plan - Quarterly - IDCW Option
112119,ICICI Prudential Liquid Fund-Annual IDCW
112120,Invesco India Money Market Fund - Regular - Growth
112122,Invesco India Money Market Fund - Regular - Monthly IDCW (Payout / Reinvestment)
112123,Invesco India Money Market Fund - Growth
112125,Invesco India Money Market Fund - Monthly IDCW (Payout / Reinvestment)
112126,DSP Global Clean Energy Overseas Equity Omni FoF - Regular Plan - Growth
112127,DSP Global Clean Energy Overseas Equity Omni FoF - Regular Plan - IDCW
112152,CANARA ROBECO CONSUMER TRENDS FUND - REGULAR PLAN - GROWTH OPTION
112153,CANARA ROBECO CONSUMER TRENDS FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
112171,Invesco India PSU Equity Fund - Regular Plan - Growth
112173,Invesco India PSU Equity Fund - Regular Plan - IDCW (Payout / Reinvestment)
112210,Axis Liquid Fund - Regular Plan - Growth Option
112211,Axis Liquid Fund - Regular Plan - Daily IDCW
112212,Axis Liquid Fund - Regular Plan - Weekly IDCW
112213,Axis Liquid Fund - Regular Plan - Monthly IDCW
112214,Axis Treasury Advantage Fund - Regular Plan - Growth Option
112215,Axis Treasury Advantage Fund - Regular Plan - Daily IDCW
112216,Axis Treasury Advantage Fund - Regular Plan - Weekly IDCW
112217,Axis Treasury Advantage Fund - Regular Plan - Monthly IDCW
112218,Tata Value Fund - Regular Plan - Payout of IDCW-Option A(5%)
112277,Axis Large Cap Fund - Regular Plan - Growth
112278,Axis Large Cap Fund - Regular Plan - IDCW
112293,DSP World Mining Overseas Equity Omni FoF - Regular Plan - Growth
112322,Axis ELSS Tax Saver Fund - Regular Plan - IDCW
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth
112327,Bandhan Conservative Hybrid Passive FOF - Regular Plan - Growth
112328,Bandhan Conservative Hybrid Passive FOF - Regular Plan - IDCW
112329,Bandhan Multi-Asset Passive FOF - Regular Plan - Growth
112330,Bandhan Multi-Asset Passive FOF - Regular Plan - IDCW
112331,Bandhan Aggressive Hybrid Passive FOF - Regular Plan - IDCW
112332,Bandhan Aggressive Hybrid Passive FOF - Regular Plan - Growth
112340,NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION
112341,NIPPON INDIA MONEY MARKET FUND - QUARTERLY IDCW Option
112342,ICICI Prudential Banking and PSU Debt Fund - Growth
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW
112347,DSP World Mining Overseas Equity Omni FoF - Regular Plan - IDCW
112351,Kotak Nifty 50 ETF
112352,BANDHAN Conservative Hybrid Fund - Regular Plan - IDCW
112353,BANDHAN Conservative Hybrid Fund - Regular Plan - Growth
112354,Axis Short Duration Fund - Regular Plan - Growth Option
112355,Axis Short Duration Fund - Regular Plan - Monthly IDCW
112356,Aditya Birla Sun Life Short Term Fund - REGULAR - Quarterly IDCW
112359,BANK OF INDIA Manufacturing & Infrastructure Fund-Growth
112360,BANK OF INDIA Manufacturing & Infrastructure Fund-Quarterly IDCW
112361,BANK OF INDIA Manufacturing & Infrastructure Fund-Regular IDCW
112368,Invesco India Gold Exchange Traded Fund
112369,Axis Short Duration Fund - Regular Plan - Weekly IDCW
112378,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment)
112408,Navi Ultra Short Term Fund - Regular Plan-Growth Option
112410,L&T Triple Ace Bond Fund-Regular Plan-Growth
112414,L&T Triple Ace Bond Fund - Regular Plan - Quarterly IDCW
112416,L&T Triple Ace Bond Fund -Regular Plan - Semi Annual IDCW
112420,L&T Triple Ace Bond Fund -Regular Plan - Bonus
112422,L&T Ultra Short Term Fund -Regular - Cumulative
112423,L&T Ultra Short Term Fund - Regular Plan - Growth
112424,L&T Ultra Short Term Fund-Regular Plan - Weekly IDCW
112425,L&T Ultra Short Term Fund- Regular Plan - Daily IDCW
112428,L&T Gilt Fund - Regular Plan - Quarterly IDCW
112429,L&T Gilt Fund - Regular Plan - Growth
112445,L&T Liquid Fund -Regular Plan - Daily IDCW
112457,L&T Liquid Fund -Regular Plan - Growth
112458,L&T Liquid Fund - Regular Plan - Weekly IDCW
112461,L&T Ultra Short Term Fund - Regular Plan -Semi Annual IDCW
112475,L&T Ultra Short Term Fund - Regular Plan - Monthly IDCW
112487,L&T Conservative Hybrid Fund- Regular Plan - Growth
112488,L&T Conservative Hybrid Fund -Regular Plan - Monthly IDCW
112489,L&T Conservative Hybrid Fund -Regular Plan -Quarterly IDCW
112495,L&T Mid Cap Fund-Regular Plan-IDCW
112496,L&T Mid Cap Fund-Regular Plan-Growth
112600,L&T Infrastructure Fund - Regular Plan - Growth
112601,L&T Infrastructure Fund - Regular Plan - IDCW
112630,L&T Credit Risk Fund- Regular Plan - Bonus
112631,L&T Credit Risk Fund- Regular Plan - IDCW
112632,L&T Credit Risk Fund - Regular Plan - Growth
112635,UTI Money Market Fund - Regular Plan - Weekly IDCW
112636,Navi Liquid Fund-Regular Plan-Growth Option
112645,Navi Liquid Fund - Regular Plan Daily IDCW
112646,Navi Liquid Fund - Regular Plan Weekly IDCW
112647,Navi Liquid Fund - Regular Plan Monthly IDCW
112648,Navi Ultra Short Term Fund - Regular Plan Daily IDCW
112649,Navi Ultra Short Term Fund - Regular Plan Monthly IDCW
112658,Navi Ultra Short Term Fund - Regular Plan Weekly IDCW
112712,Axis Liquid Fund - Retail Plan - Daily IDCW
112713,Axis Liquid Fund - Retail Plan - Growth Option
112714,Axis Liquid Fund - Retail Plan - Monthly IDCW
112715,Axis Liquid Fund - Retail Plan - Weekly IDCW
112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option
112718,Axis Treasury Advantage Fund - Retail Plan - Monthly IDCW
112719,Axis Treasury Advantage Fund - Retail Plan - Weekly IDCW
112720,Axis Treasury Advantage Fund - Retail Plan - Daily IDCW
112721,Axis Short Duration Fund - Retail Plan - Growth Option
112722,Axis Short Duration Fund - Retail Plan - Weekly IDCW
112723,Axis Short Duration Fund - Retail Plan - Monthly IDCW
112867,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
112868,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Regular Plan - Growth
112869,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Regular Plan- Income Distribution cum Capital Withdrawal (IDCW)
112870,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Regular Plan -Income Distribution cum Capital Withdrawal (IDCW)
112877,BANDHAN Nifty 50 Index Fund - Regular Plan - Growth
112878,BANDHAN Nifty 50 Index Fund - Regular Plan - IDCW
112901,DSP Focused Fund - Regular Plan - Growth
112923,SBI PSU Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
112924,Axis Conservative Hybrid Fund - Regular Plan - Growth Option
112925,Axis Conservative Hybrid Fund - Regular Plan - Quarterly IDCW
112926,Axis Conservative Hybrid Fund - Regular Plan - Half Yearly IDCW
112927,Axis Conservative Hybrid Fund - Regular Plan - Annual IDCW
112931,Mirae Asset Large & Midcap Fund - Regular Plan - IDCW
112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth
112936,Nippon India Aggressive Hybrid Fund - Growth Plan
112937,NIPPON INDIA AGGRESSIVE HYBRID FUND - IDCW Option
112938,Nippon India Credit Risk Fund  - Growth Plan
112939,Nippon India Credit Risk Fund  - Institutional Growth Plan
112941,NIPPON INDIA CREDIT RISK FUND - QUARTERLY IDCW Option
112942,NIPPON INDIA FLOATER FUND - QUARTERLY IDCW Option
112943,Baroda Large cap Fund - Plan A - Growth Option
112944,Baroda Large cap Fund - Plan A - IDCW Option
112948,Taurus Nifty 50 Index Fund - Regular Plan - Growth
112949,Taurus Nifty 50 Index Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
112957,ICICI Prudential Nifty Next 50 Index Fund - Growth
112958,ICICI Prudential Nifty Next 50 Index Fund -IDCW
113032,DSP Focused Fund - Regular Plan - IDCW
113036,Baroda BNP Paribas Short Duration Fund - Regular Plan - Growth Option
113037,Baroda BNP Paribas Short Duration Fund - Regular Plan - Monthly IDCW Option
113047,HDFC Short Term  Debt Fund - Growth Option
113048,HDFC Short Term  Debt Fund - Fortnightly IDCW Option
113049,HDFC Gold ETF - Growth Option
113062,IDBI Nifty 50  Index Fund IDCW
113063,IDBI NIFTY 50 Index Fund Growth
113064,Axis Multi Asset Allocation Fund - Regular Plan - Growth Option
113065,Axis Multi Asset Allocation Fund - Regular Plan - Monthly IDCW
113069,Motilal Oswal Nifty 50 ETF
113070,HDFC Corporate Bond Fund - Growth Option
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option
113076,ICICI Prudential Gold ETF
113077,UTI Dynamic Bond Fund - Regular Plan - Growth Option
113078,UTI Dynamic Bond Fund - Regular Plan - Quarterly IDCW
113096,IDBI Liquid Fund-Growth
113097,ICICI Prudential Regular Savings Fund - Plan - Quarterly IDCW
113098,ICICI Prudential Regular Savings Fund - Plan - Half Yearly IDCW
113099,SBI PSU Fund - REGULAR PLAN -Growth
113102,IDBI Liquid Fund-Daily IDCW
113103,IDBI Liquid Fund-Weekly IDCW
113104,IDBI Liquid Fund- Monthly IDCW
113134,Tata Aggressive Hybrid Fund- Regular Plan - Monthly Payout of IDCW Option
113135,Franklin India Low Duration Fund - Growth Plan
113137,ICICI Prudential Medium Term Bond Fund - Quarterly IDCW
113141,Navi Conservative Hybrid Fund - Monthly IDCW
113142,Navi Conservative Hybrid Fund-Growth
113143,Navi Conservative Hybrid  Fund - Quarterly IDCW
113144,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)
113153,DSP Small Cap Fund - Regular - IDCW
113169,Bandhan Medium Duration Fund - Regular Plan - Quarterly IDCW
113177,Nippon India Small Cap Fund - Growth Plan - Growth Option
113178,Nippon India Small Cap Fund - Growth Plan - Bonus Option
113179,NIPPON INDIA SMALL CAP FUND - IDCW Option
113218,ICICI Prudential All Seasons Bond Fund - Annual IDCW
113221,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION
113222,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
113249,IDBI Nifty Next 50 Index Fund Growth
113250,IDBI Nifty Next 50  Index Fund IDCW
113251,IDBI UST Growth
113252,IDBI UST Daily IDCW
113253,IDBI UST Weekly IDCW
113254,IDBI UST Monthly IDCW
113269,Nippon India Index Fund - BSE Sensex Plan - Growth Plan - Growth Option
113270,Nippon India Index Fund - BSE Sensex Plan - Growth Plan - Bonus Option
113271,NIPPON INDIA INDEX FUND - BSE SENSEX PLAN - QUARTERLY - IDCW Option
113294,NIPPON INDIA INDEX FUND - BSE SENSEX PLAN - HALF YEARLY - IDCW Option
113295,NIPPON INDIA INDEX FUND - BSE SENSEX PLAN - ANNUAL - IDCW Option
113296,Nippon India Index Fund - Nifty 50 Plan - Growth Plan - Growth Option
113297,Nippon India Index Fund - Nifty 50 Plan - Growth Plan - Bonus Option
113298,NIPPON INDIA INDEX FUND - NIFTY 50 PLAN - QUARTERLY - IDCW Option
113299,NIPPON INDIA INDEX FUND - NIFTY 50 PLAN - HALF YEARLY - IDCW Option
113300,NIPPON INDIA INDEX FUND - NIFTY 50 PLAN - ANNUAL - IDCW Option
113307,Aditya Birla Sun Life Low Duration Fund -Regular - DAILY IDCW
113327,Baroda Mid-cap Fund- Plan A - Growth Option
113328,Baroda Mid-cap Fund- Plan A - IDCW Option
113345,Nippon India Arbitrage Fund - Growth Plan - Growth Option
113346,NIPPON INDIA ARBITRAGE FUND - IDCW Option
113361,BANDHAN Conservative Hybrid Fund - Regular Plan - Quarterly IDCW
113403,ICICI Prudential All Seasons Bond Fund - Quarterly IDCW
113434,Axis Gold ETF
113460,BNP PARIBAS MULTI CAP Fund-Growth Option
113461,BNP PARIBAS MULTI CAP Fund-Income Distribution cum Capital Withdrawal Option
113463,BNP Paribas Long Term Equity Fund - Growth Option
113464,BNP Paribas Long Term Equity Fund-Income Distribution cum Capital Withdrawal Option
113476,BNP PARIBAS LOW DURATION Fund-Regular Plan-Growth Option
113477,BNP PARIBAS LOW DURATION Fund-Regular Plan-Weekly Income Distribution cum Capital Withdrawal Option
113478,BNP PARIBAS LOW DURATION Fund-Regular Plan-Monthly Income Distribution cum Capital Withdrawal Option
113483,BNP PARIBAS LOW DURATION Fund-Regular Plan- Daily Income Distribution cum Capital Withdrawal Option (Compulsory Reinvestment)
113526,BNP PARIBAS Flexi Debt Fund-Regular Plan A - Growth Option
113544,BNP PARIBAS LARGE CAP Fund-Growth Option
113545,BNP PARIBAS LARGE CAP Fund-Income Distribution cum Capital Withdrawal Option
113547,BNP PARIBAS Short Term Fund-Regular Plan-Growth Option
113548,BNP PARIBAS Short Term Fund-Regular Plan-Monthly Income Distribution cum Capital Withdrawal Option
113549,BNP PARIBAS Short Term Fund-Regular Plan-Weekly Income Distribution cum Capital Withdrawal Option
113557,BNP PARIBAS Short Term Fund-Regular Plan-Quarterly Income Distribution cum Capital Withdrawal Option
113560,BNP PARIBAS Conservative Hybrid Fund-Regular Plan-Growth Option
113561,BNP PARIBAS Conservative hybrid Fund-Regular Plan-Monthly Income Distribution cum Capital Withdrawal Option
113562,BNP PARIBAS Conservative Hybrid Fund-Regular Plan-Quarterly Income Distribution cum Capital Withdrawal Option
113566,BNP Paribas Mid Cap Fund-Growth Option
113567,BNP Paribas Mid Cap Fund-Income Distribution cum Capital Withdrawal Option
114097,BNP PARIBAS Corporate Bond Fund - Regular Plan - Quarterly-Income Distribution cum Capital Withdrawal Option
114099,BNP PARIBAS Corporate Bond Fund - Regular Plan - Growth Option
114100,BNP PARIBAS Corporate Bond Fund - Regular Plan - Annual-Income Distribution cum Capital Withdrawal Option
114105,BNP PARIBAS Corporate Bond Fund - Regular Plan - Monthly-Income Distribution cum Capital Withdrawal Option
114216,L&T Money Market Fund - Regular Plan - Growth
114217,L&T Money Market Fund - Regular Plan - Daily IDCW
114218,L&T Money Market Fund - Regular Plan - Weekly IDCW
114219,L&T Money Market Fund - Regular Plan - Monthly IDCW
114239,ICICI Prudential Credit Risk Fund - Growth
114240,ICICI Prudential Credit Risk Fund - Quarterly IDCW
114241,ICICI Prudential Credit Risk Fund - Half Yearly IDCW
114297,SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
114348,SBI Savings Fund - Regular Plan Daily Income Distribution cum Capital Withdrawal Option (IDCW)
114359,Invesco India Ultra Short Duration Fund - Regular Plan - Growth
114360,Invesco India Ultra Short Duration Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment)
114361,Invesco India Ultra Short Duration Fund - Regular Plan - Annual IDCW (Payout / Reinvestment)
114362,Invesco India Ultra Short Duration Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)
114456,Motilal Oswal Nifty Midcap 100 ETF
114457,Kotak Large Cap Fund - Payout of Income Distribution cumcapital withdrawal option
114458,Kotak Large Cap Fund - Growth
114476,BANDHAN Infrastructure Fund - Regular Plan - Growth
114477,BANDHAN Infrastructure Fund - Regular Plan - IDCW
114564,Axis Midcap Fund - Regular Plan - Growth
114565,Axis Midcap Fund - Regular Plan - IDCW
114616,Nippon India Gold Savings Fund-Growth plan- Growth Option
114617,NIPPON INDIA GOLD SAVINGS FUND - IDCW Option
114630,IDBI Equity Savings Fund IDCW Option
114757,Kotak Gold Fund Payout of Income Distribution cum capital withdrawal option
114758,Kotak Gold Fund Growth
114854,Navi 3 IN 1 FUND - MONTHLY IDCW Payout
114855,Navi 3 in 1 Fund-Growth
114858,Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option
114859,Kotak Debt Hybrid - Growth
114930,Mirae Asset Great Consumer Fund Regular IDCW
114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option
114982,IDBI Equity Savings Fund Growth Option
114983,IDBI Equity Savings Fund Quarterly IDCW Option
114984,Motilal Oswal Nasdaq 100 ETF (MOFN100)
114999,IDBI Short Term Bond Fund Monthly IDCW
115000,IDBI Short Term Bond Fund Weekly IDCW
115005,IDBI Short Term Bond Fund Growth
115068,Axis Dynamic Bond Fund - Regular Plan - Growth Option
115069,Axis Dynamic Bond Fund - Regular Plan - Quarterly IDCW
115077,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - GROWTH OPTION
115078,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)
115079,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment)
115091,ICICI Prudential Ultra Short Term Fund - Quarterly IDCW
115092,ICICI Prudential Ultra Short Term Fund - Growth
115093,ICICI Prudential Ultra Short Term Fund - Half Yearly IDCW
115094,ICICI Prudential Ultra Short Term Fund - Monthly IDCW
115101,Navi 3 IN 1 FUND - QUARTERLY IDCW Payout
115116,HSBC Brazil Fund-Growth
115117,HSBC Brazil Fund - IDCW
115127,Aditya Birla Sun Life Gold ETF
115131,Axis Dynamic Bond Fund - Regular Plan - Half Yearly IDCW
115132,Quantum Gold Savings Fund - Direct Plan Growth Option
115270,Union Flexi Cap Fund - Growth Option
115284,Invesco India Nifty 50 Exchange Traded Fund
115290,Union Flexi Cap Fund - IDCW Option
115294,ICICI Prudential Technology Fund - IDCW
115398,Union Liquid Fund - Growth Option
115399,Union Liquid Fund - Fortnightly IDCW Option
115400,Union Liquid Fund - Monthly IDCW Option
115401,Union Liquid Fund - Daily IDCW Option
115402,Union Liquid Fund - Weekly IDCW Option
115458,Invesco India Low Duration Fund - Discretionary IDCW (Payout / Reinvestment)
115464,Tata Treasury Advantage Fund Regular Plan - Periodic Payout of IDCW Option
115483,UTI Low Duration Fund - Regular Plan - Quarterly IDCW
115489,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW
115505,ICICI Prudential Liquid Fund - IDCW Others
115510,ICICI Prudential Floating Interest Fund - IDCW Others
115511,ICICI Prudential Savings Fund - IDCW Others
115512,Aditya Birla Sun Life Nifty 50 ETF
115515,Invesco India Money Market Fund - Daily IDCW (Reinvestment)
115676,SBI GOLD FUND REGULAR PLAN - GROWTH
115677,SBI Gold Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
115788,Navi Large Cap Equity Fund - Normal IDCW Payout
115790,Navi Large Cap Equity Fund - Growth Option
115833,ICICI Prudential Regular Gold Savings Fund (FOF) - Growth
115834,ICICI Prudential Regular Gold Savings Fund (FOF) - IDCW
115874,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Fortnightly IDCW
115881,DSP World Agriculture Fund - Regular Plan - IDCW
115882,DSP World Agriculture Fund - Regular Plan - Growth
115883,L&T Equity Savings Fund - Regular Plan - Monthly IDCW
115886,L&T Equity Savings Fund - Regular Plan - Quarterly IDCW
115887,L&T Equity Savings Fund - Regular Plan - Growth
115897,Axis Gold Fund - Regular Plan - Growth Option
115898,Axis Gold Fund - Regular Plan - IDCW
115934,HDFC Gold ETF Fund of Fund - Growth Option
115939,IDBI Gold Exchange Traded Fund
115942,Tata Retirement Savings Fund - Progressive Plan -Regular Plan-Growth Option
115943,Tata Retirement Savings Fund- Moderate Plan-Regular Plan-Growth Option
115944,Tata Retirement Savings Fund- Conservative Plan-Regular Plan-Growth Option
115991,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Regular Plan - Growth Option
115992,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment)
115993,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
115994,Groww Liquid Fund (formerly known as Indiabulls Liquid) Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
115995,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
116020,BANDHAN Low Duration Fund - Regular Plan - Periodic IDCW
116051,Union ELSS Tax Saver Fund - Growth Option
116052,Union ELSS Tax Saver Fund - IDCW Option
116075,Invesco India Gold ETF Fund of Fund - Regular Plan - IDCW (Payout / Reinvestment)
116077,Invesco India Gold ETF Fund of Fund - Regular Plan - Growth
116153,Franklin India Credit Risk Fund - Growth
116154,Franklin India Credit Risk Fund - IDCW
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW
116296,L&T Short Term Bond Fund - Regular Plan - Bonus
116297,L&T Short Term Bond Fund - Regular Plan - Monthly IDCW
116298,L&T Short Term Bond Fund - Regular Plan - Quarterly IDCW
116299,L&T Short Term Bond Fund - Regular Plan - Growth
116413,BANDHAN Low Duration Fund - Regular Plan - Quarterly IDCW
116470,Axis Gilt Fund - Regular Plan - Regular IDCW
116471,Axis Gilt Fund - Regular Plan - Growth Option
116472,Axis Gilt Fund - Regular Plan - Half Yearly IDCW
116484,PGIM India Dynamic Bond Fund - Dividend Option - Quarterly
116485,PGIM India Dynamic Bond Fund - Growth Option
116488,Invesco India Money Market Fund - Regular Plan - Daily IDCW (Reinvestment)
116547,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option
116548,Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
116555,Union Dynamic Bond Fund - Growth Option
116556,Union Dynamic Bond Fund - IDCW Option
116582,IDBI Dynamic Bond Fund Annual IDCW Regular
116583,IDBI Dynamic Bond Fund Growth
116632,Franklin U.S. Opportunities Equity Active Fund of Funds - IDCW
116633,Franklin U.S. Opportunities Equity Active Fund of Funds - Growth
116653,Invesco India Money Market Fund - Discretionary IDCW (Payout / Reinvestment)
116795,Aditya Birla Sun Life Gold Fund-REGULAR - IDCW
116796,Aditya Birla Sun Life Gold Fund-Growth
116810,IDBI Dynamic Bond Fund Quarterly IDCW Regular
116811,IDBI Dynamic Bond Fund Growth Direct
116894,Axis Strategic Bond Fund - Regular Plan - Growth Option
116895,Axis Strategic Bond Fund - Regular Plan - Quarterly IDCW
116896,Axis Strategic Bond Fund - Regular Plan - Half Yearly IDCW
117061,DSP Credit Risk Fund - Regular Plan - IDCW - Monthly
117062,DSP Credit Risk Fund - Regular Plan - IDCW - Quarterly
117063,DSP Ultra Short Fund - Regular Plan - IDCW - Monthly
117310,IDBI India Top 100 Equity Fund IDCW
117311,IDBI India Top 100 Equity Fund Growth
117312,Taurus Banking & Financial Services Fund - Regular Plan - Growth
117313,Taurus Banking & Financial Services Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
117330,ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW
117547,Baroda BNP Paribas Banking and Financial Services Fund - Regular - IDCW Option
117549,Baroda BNP Paribas Banking and Financial Services Fund - Regular - Growth Option
117559,Axis Focused Fund - Regular Plan - IDCW
117560,Axis Focused Fund - Regular Plan - Growth Option
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option
117619,ICICI Prudential US Bluechip Equity Fund - IDCW
117620,ICICI Prudential US Bluechip Equity Fund - Growth
