scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
119727,SBI FOCUSED FUND - -,Sbi Focused Fund - -,sbifocused,unknown,True,Unknown Category
119730,SBI CONSUMPTION OPPORTUNITIES FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Consumption Opportunities Fund - - Income Distribution Cum Capital Withdrawal ( ),sbiconsumptionopportunitiesincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119731,SBI TECHNOLOGY OPPORTUNITIES FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Technology Opportunities Fund - - Income Distribution Cum Capital Withdrawal ( ),sbitechnologyopportunitiesincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119732,SBI PSU FUND - -,Sbi Psu Fund - -,sbipsu,unknown,True,Unknown Category
119733,SBI PSU FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Psu Fund - - Income Distribution Cum Capital Withdrawal ( ),sbipsuincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119734,KOTAK BOND FUND - - STANDARD,Kotak Bond Fund - - Standard,kotakbondstandard,unknown,True,Unknown Category
119735,KOTAK BOND FUND - -,Kotak Bond Fund - -,kotakbond,unknown,True,Unknown Category
119739,KOTAK BOND SHORT TERM -( ) -,Kotak Bond Short Term -( ) -,kotakbondshortterm,unknown,True,Unknown Category
119740,KOTAK CREDIT RISK FUND - - STANDARD INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Credit Risk Fund - - Standard Income Distribution Cum Capital Withdrawal,kotakcreditriskstandardincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119741,KOTAK CREDIT RISK FUND - -,Kotak Credit Risk Fund - -,kotakcreditrisk,unknown,True,Unknown Category
119746,KOTAK MONEY MARKET FUND - ( ) -,Kotak Money Market Fund - ( ) -,kotakmoneymarket,unknown,True,Unknown Category
119747,KOTAK MONEY MARKET FUND - ( OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ) -,Kotak Money Market Fund - ( Of Income Distribution Cum Capital Withdrawal ) -,kotakmoneymarketofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119750,KOTAK SAVINGS FUND- -,Kotak Savings Fund- -,kotaksavings,unknown,True,Unknown Category
119751,KOTAK SAVINGS FUND- OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL -,Kotak Savings Fund- Of Income Distribution Cum Capital Withdrawal -,kotaksavingsofincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119753,KOTAK DYNAMIC BOND FUND - - STANDARD INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Dynamic Bond Fund - - Standard Income Distribution Cum Capital Withdrawal,kotakdynamicbondstandardincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119755,KOTAK DYNAMIC BOND FUND - -,Kotak Dynamic Bond Fund - -,kotakdynamicbond,unknown,True,Unknown Category
119757,KOTAK GILT INVESTMENT PROVIDENT FUND AND TRUST- -,Kotak Gilt Investment Provident Fund And Trust- -,kotakgiltinvestmentprovidentandtrust,unknown,True,Unknown Category
