scheme_code,months,years,total_invested,final_value,gain,cagr_percent,scheme_name,category,daily_return_std,sharpe_ratio,max_drawdown,category_volatility_pct,category_risk_tier,log_total_invested,canonical_scheme_name,match_key
100033,132,11.0,132000.0,257959.2479557669,125959.24795576691,6.280226205246842,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND -,mid_cap,0.1369765979111748,0.5571216227522449,-0.3960087515746204,0.3197674418604651,medium,11.790564777297387,Aditya Birla Sun Life Large & Mid Cap Fund -,adityabirlasunlifelargemidcap
100034,132,11.0,132000.0,166722.58224277772,34722.58224277772,2.145689698296782,ADITYA BIRLA SUN LIFE LARGE & MID CAP FUND - -,mid_cap,0.1535702826100936,0.0569502111681582,-0.4971556628167556,0.7151162790697675,medium,11.790564777297387,Aditya Birla Sun Life Large & Mid Cap Fund - -,adityabirlasunlifelargemidcap
100080,132,11.0,132000.0,160967.11482535506,28967.114825355064,1.819983139024317,DSP FLEXI CAP FUND - -,multi_cap,0.1537329318791135,0.1463906878190967,-0.5854161003733959,0.8515625,high,11.790564777297387,Dsp Flexi Cap Fund - -,dspflexicap
100176,132,11.0,132000.0,469918.6216542071,337918.6216542071,12.235876417357415,QUANT SMALL CAP FUND - -,small_cap,0.1744509500001176,0.7832741362596491,-0.6701545902442093,0.803030303030303,high,11.790564777297387,Quant Small Cap Fund - -,quantsmallcap
100177,132,11.0,132000.0,478430.2678026924,346430.2678026924,12.419184032262145,QUANT SMALL CAP FUND - -,small_cap,0.1744518287689384,0.7828401131142196,-0.5206041175920335,0.8181818181818182,high,11.790564777297387,Quant Small Cap Fund - -,quantsmallcap
100218,132,11.0,132000.0,184092.09491193364,52092.09491193365,3.070133166201505,JM LARGE CAP FUND ( ) -,large_cap,0.1367243213780034,0.637962409741635,-0.5903011125706698,0.7758620689655172,high,11.790564777297387,Jm Large Cap Fund ( ) -,jmlargecap
100219,132,11.0,132000.0,268392.3824701646,136392.38247016462,6.663993908263732,JM LARGE CAP FUND ( ) -,large_cap,0.1367252990796473,0.6380242972674548,-0.208445170179109,0.7844827586206896,high,11.790564777297387,Jm Large Cap Fund ( ) -,jmlargecap
100312,132,11.0,132000.0,234780.16179017667,102780.16179017667,5.374426553727529,LIC MF FLEXI CAP FUND- -,multi_cap,0.1390451749253226,0.5391807597761222,-0.3427450888844793,0.625,medium,11.790564777297387,Lic Mf Flexi Cap Fund- -,licmfflexicap
100313,132,11.0,132000.0,247937.12966714788,115937.12966714788,5.898050969072788,LIC MF FLEXI CAP FUND- -,multi_cap,0.1387534543994386,0.600395747734545,-0.3427442306443418,0.609375,medium,11.790564777297387,Lic Mf Flexi Cap Fund- -,licmfflexicap
100332,132,11.0,132000.0,225448.62824697944,93448.62824697944,4.986623774650023,LIC MF LARGE CAP FUND- -,large_cap,0.1236019034006682,0.4187898580808957,-0.3711826989902294,0.396551724137931,medium,11.790564777297387,Lic Mf Large Cap Fund- -,licmflargecap
100348,132,11.0,132000.0,202669.60780565577,70669.60780565577,3.974923311429701,ICICI PRUDENTIAL LARGE & MID CAP FUND -,mid_cap,0.141418482581505,0.324988369329538,-0.4935560859188544,0.4127906976744186,medium,11.790564777297387,Icici Prudential Large & Mid Cap Fund -,iciciprudentiallargemidcap
100349,132,11.0,132000.0,360780.68994229886,228780.6899422989,9.571400824877374,ICICI PRUDENTIAL LARGE & MID CAP FUND -,mid_cap,0.1138644540112694,1.1642222553665422,-0.3784074084825964,0.005813953488372,low,11.790564777297387,Icici Prudential Large & Mid Cap Fund -,iciciprudentiallargemidcap
100470,132,11.0,132000.0,159697.09883007,27697.09883007,1.7466880397404516,FRANKLIN INDIA LARGE CAP FUND -,large_cap,0.14769684166238,-0.0892491181373523,-0.505443058409798,0.9310344827586208,high,11.790564777297387,Franklin India Large Cap Fund -,franklinlargecap
100471,132,11.0,132000.0,269431.2250077603,137431.22500776028,6.7014602955496105,FRANKLIN INDIA LARGE CAP FUND-,large_cap,0.1147667734254184,0.7083274448469333,-0.3656500851531035,0.1293103448275862,low,11.790564777297387,Franklin India Large Cap Fund-,franklinlargecap
100472,132,11.0,132000.0,190786.67457163552,58786.67457163552,3.405371837862581,FRANKLIN INDIA MID CAP FUND -,mid_cap,0.1619787114335451,0.3593883864770264,-0.4891594602234523,0.8895348837209303,high,11.790564777297387,Franklin India Mid Cap Fund -,franklinmidcap
100473,132,11.0,132000.0,333390.3841285722,201390.3841285722,8.787731738049409,FRANKLIN INDIA MID CAP FUND-,mid_cap,0.1418567010873108,0.987507044368394,-0.3788655626107168,0.4302325581395348,medium,11.790564777297387,Franklin India Mid Cap Fund-,franklinmidcap
100475,132,11.0,132000.0,280103.31531829195,148103.31531829195,7.078931507553321,TATA LARGE CAP FUND - -,large_cap,0.1249720790110156,0.6410293940882473,-0.3762245421872325,0.5862068965517241,medium,11.790564777297387,Tata Large Cap Fund - -,tatalargecap
100476,132,11.0,132000.0,239783.99237924285,107783.99237924285,5.576641229683532,TAURUS FLEXI CAP FUND - -,multi_cap,0.1392674620261059,0.4856358101502114,-0.4113457556935818,0.640625,medium,11.790564777297387,Taurus Flexi Cap Fund - -,taurusflexicap
100477,132,11.0,132000.0,310600.0869227903,178600.08692279027,8.089704876796699,TAURUS MID CAP FUND - -,mid_cap,0.1725801569901446,0.5500964643725612,-0.3293425750892669,0.9825581395348836,high,11.790564777297387,Taurus Mid Cap Fund - -,taurusmidcap
100484,132,11.0,132000.0,277931.73343485896,145931.73343485896,7.0031951119894575,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,index_fund,0.1201968831284099,0.5498507440746346,-0.3766953064704666,0.3409090909090909,medium,11.790564777297387,Franklin India Index Fund- Nse Nifty 50 Index Fund -,franklinindexnsenifty50index
100519,132,11.0,132000.0,213240.00857099303,81240.00857099303,4.4566003793761855,FRANKLIN INDIA FLEXI CAP FUND -,multi_cap,0.1358414886985391,0.333410942434107,-0.5166136027588745,0.5546875,medium,11.790564777297387,Franklin India Flexi Cap Fund -,franklinflexicap
