scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active
103616,SBI LARGE CAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Large Cap Fund - - Income Distribution Cum Capital Withdrawal ( ),sbilargecapincomedistributioncumcapitalwithdrawal,large_cap,True
103819,DSP LARGE & MID CAP FUND - -,Dsp Large & Mid Cap Fund - -,dsplargemidcap,mid_cap,True
103820,DSP LARGE & MID CAP FUND - -,Dsp Large & Mid Cap Fund - -,dsplargemidcap,mid_cap,True
104481,DSP MIDCAP FUND - -,Dsp Midcap Fund - -,dspmidcap,mid_cap,True
104482,DSP MIDCAP FUND - -,Dsp Midcap Fund - -,dspmidcap,mid_cap,True
104513,QUANT LARGE & MID CAP FUND -,Quant Large & Mid Cap Fund -,quantlargemidcap,mid_cap,True
104514,QUANT LARGE & MID CAP FUND - -,Quant Large & Mid Cap Fund - -,quantlargemidcap,mid_cap,True
104515,QUANT LARGE & MID CAP FUND - -,Quant Large & Mid Cap Fund - -,quantlargemidcap,mid_cap,True
104907,KOTAK MIDCAP FUND - - - & RE INVESTMENT OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Kotak Midcap Fund - - - & Re Investment Of Income Distribution Cum Capital Withdrawal,kotakmidcapreinvestmentofincomedistributioncumcapitalwithdrawal,mid_cap,True
104908,KOTAK MIDCAP FUND - -,Kotak Midcap Fund - -,kotakmidcap,mid_cap,True
105000,SUNDARAM LARGE AND MIDCAP - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sundaram Large And Midcap - Income Distribution Cum Capital Withdrawal ( ),sundaramlargeandmidcapincomedistributioncumcapitalwithdrawal,mid_cap,True
105001,SUNDARAM LARGE AND MIDCAP FUND -,Sundaram Large And Midcap Fund -,sundaramlargeandmidcap,mid_cap,True
105067,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,Franklin India Index Fund- Nse Nifty 50 Index Fund -,franklinindexnsenifty50index,index_fund,True
105503,INVESCO INDIA MIDCAP FUND - -,Invesco India Midcap Fund - -,invescomidcap,mid_cap,True
105504,INVESCO INDIA MIDCAP FUND - - ( / ),Invesco India Midcap Fund - - ( / ),invescomidcap,mid_cap,True
105757,HDFC MID CAP FUND -,Hdfc Mid Cap Fund -,hdfcmidcap,mid_cap,True
105758,HDFC MID CAP FUND -,Hdfc Mid Cap Fund -,hdfcmidcap,mid_cap,True
105804,ADITYA BIRLA SUN LIFE SMALL CAP FUND -,Aditya Birla Sun Life Small Cap Fund -,adityabirlasunlifesmallcap,small_cap,True
105805,ADITYA BIRLA SUN LIFE SMALL CAP FUND - -,Aditya Birla Sun Life Small Cap Fund - -,adityabirlasunlifesmallcap,small_cap,True
105875,DSP FLEXI CAP FUND - -,Dsp Flexi Cap Fund - -,dspflexicap,multi_cap,True
105989,DSP SMALL CAP FUND - -,Dsp Small Cap Fund - -,dspsmallcap,small_cap,True
106143,INVESCO INDIA LARGE & MID CAP FUND - - ( / ),Invesco India Large & Mid Cap Fund - - ( / ),invescolargemidcap,mid_cap,True
106144,INVESCO INDIA LARGE & MID CAP FUND - -,Invesco India Large & Mid Cap Fund - -,invescolargemidcap,mid_cap,True
106193,KOTAK GOLD ETF,Kotak Gold Etf,kotakgoldetf,index_fund,True
