scheme_code,scheme_name,canonical_scheme_name,match_key,category
101593,HSBC LARGE CAP FUND -,HSBC LARGE CAP FUND -,hsbclargecap,large_cap
101594,HSBC LARGE CAP FUND -,HSBC LARGE CAP FUND -,hsbclargecap,large_cap
101635,DSP LARGE CAP FUND - -,DSP LARGE CAP FUND - -,dsplargecap,large_cap
101636,DSP LARGE CAP FUND - -,DSP LARGE CAP FUND - -,dsplargecap,large_cap
101659,TATA NIFTY 50 INDEX FUND -,TATA NIFTY 50 INDEX FUND -,tatanifty50index,index_fund
101705,ICICI PRUDENTIAL BSE SENSEX ETF,ICICI PRUDENTIAL BSE SENSEX ETF,iciciprudentialbsesensexetf,index_fund
101706,ICICI PRUDENTIAL MULTICAP FUND -,ICICI PRUDENTIAL MULTICAP FUND -,iciciprudentialmulticap,multi_cap
101746,TATA S&P BSE SENSEX INDEX FUND -,TATA S&P BSE SENSEX INDEX FUND -,tataspbsesensexindex,index_fund
101762,HDFC FLEXI CAP FUND -,HDFC FLEXI CAP FUND -,hdfcflexicap,multi_cap
101763,HDFC FLEXI CAP FUND -,HDFC FLEXI CAP FUND -,hdfcflexicap,multi_cap
101823,TATA LARGE & MID CAP FUND - OF,TATA LARGE & MID CAP FUND - OF,tatalargemidcapof,mid_cap
101824,TATA LARGE & MID CAP FUND- -,TATA LARGE & MID CAP FUND- -,tatalargemidcap,mid_cap
101922,CANARA ROBECO FLEXICAP FUND - -,CANARA ROBECO FLEXICAP FUND - -,canararobecoflexicap,multi_cap
101923,CANARA ROBECO FLEXICAP FUND - - ( / ),CANARA ROBECO FLEXICAP FUND - - ( / ),canararobecoflexicap,multi_cap
102000,HDFC LARGE CAP FUND - -,HDFC LARGE CAP FUND - -,hdfclargecap,large_cap
102001,HDFC LARGE CAP FUND - -,HDFC LARGE CAP FUND - -,hdfclargecap,large_cap
102020,BARODA BNP PARIBAS MULTI CAP FUND - -,BARODA BNP PARIBAS MULTI CAP FUND - -,barodabnpparibasmulticap,multi_cap
102021,BARODA BNP PARIBAS MULTI CAP FUND - -,BARODA BNP PARIBAS MULTI CAP FUND - -,barodabnpparibasmulticap,multi_cap
102036,TATA LARGE CAP FUND- - OF,TATA LARGE CAP FUND- - OF,tatalargecapof,large_cap
102133,ICICI PRUDENTIAL MULTI SECTOR PASSIVE FOF -,ICICI PRUDENTIAL MULTI SECTOR PASSIVE FOF -,iciciprudentialmultisectorpassivefof,index_fund
102134,ICICI PRUDENTIAL MULTI SECTOR PASSIVE FOF -,ICICI PRUDENTIAL MULTI SECTOR PASSIVE FOF -,iciciprudentialmultisectorpassivefof,index_fund
102251,HSBC FLEXI CAP FUND -,HSBC FLEXI CAP FUND -,hsbcflexicap,multi_cap
102252,HSBC FLEXI CAP FUND -,HSBC FLEXI CAP FUND -,hsbcflexicap,multi_cap
102272,SBI NIFTY INDEX FUND - -,SBI NIFTY INDEX FUND - -,sbiniftyindex,index_fund
102273,SBI NIFTY INDEX FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SBI NIFTY INDEX FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sbiniftyindexincomedistributioncumcapitalwithdrawal,index_fund
102326,TATA MID CAP FUND- -,TATA MID CAP FUND- -,tatamidcap,mid_cap
102328,TATA MID CAP FUND -,TATA MID CAP FUND -,tatamidcap,mid_cap
102393,UTI MID CAP FUND - -,UTI MID CAP FUND - -,utimidcap,mid_cap
102394,UTI MID CAP FUND-,UTI MID CAP FUND-,utimidcap,mid_cap
102528,ICICI PRUDENTIAL MIDCAP FUND -,ICICI PRUDENTIAL MIDCAP FUND -,iciciprudentialmidcap,mid_cap
102529,ICICI PRUDENTIAL MIDCAP FUND -,ICICI PRUDENTIAL MIDCAP FUND -,iciciprudentialmidcap,mid_cap
102874,KOTAK SMALL CAP FUND - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,KOTAK SMALL CAP FUND - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,kotaksmallcapofincomedistributioncumcapitalwithdrawal,small_cap
102875,KOTAK SMALL CAP FUND -,KOTAK SMALL CAP FUND -,kotaksmallcap,small_cap
102883,FRANKLIN INDIA LARGE & MID CAP FUND -,FRANKLIN INDIA LARGE & MID CAP FUND -,franklinlargemidcap,mid_cap
102884,FRANKLIN INDIA LARGE & MID CAP FUND -,FRANKLIN INDIA LARGE & MID CAP FUND -,franklinlargemidcap,mid_cap
102920,CANARA ROBECO LARGE AND MID CAP FUND - -,CANARA ROBECO LARGE AND MID CAP FUND - -,canararobecolargeandmidcap,mid_cap
102921,CANARA ROBECO LARGE AND MID CAP FUND - - ( / ),CANARA ROBECO LARGE AND MID CAP FUND - - ( / ),canararobecolargeandmidcap,mid_cap
102941,SBI MIDCAP FUND - -,SBI MIDCAP FUND - -,sbimidcap,mid_cap
102942,SBI MIDCAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SBI MIDCAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sbimidcapincomedistributioncumcapitalwithdrawal,mid_cap
103024,SBI LARGE & MIDCAP FUND- -,SBI LARGE & MIDCAP FUND- -,sbilargemidcap,mid_cap
103165,ADITYA BIRLA SUN LIFE FLEXI CAP FUND - -,ADITYA BIRLA SUN LIFE FLEXI CAP FUND - -,adityabirlasunlifeflexicap,multi_cap
103166,ADITYA BIRLA SUN LIFE FLEXI CAP FUND - -,ADITYA BIRLA SUN LIFE FLEXI CAP FUND - -,adityabirlasunlifeflexicap,multi_cap
103173,ADITYA BIRLA SUN LIFE LARGE CAP FUND- -,ADITYA BIRLA SUN LIFE LARGE CAP FUND- -,adityabirlasunlifelargecap,large_cap
103174,ADITYA BIRLA SUN LIFE LARGE CAP FUND-,ADITYA BIRLA SUN LIFE LARGE CAP FUND-,adityabirlasunlifelargecap,large_cap
103215,SBI FLEXICAP FUND - -,SBI FLEXICAP FUND - -,sbiflexicap,multi_cap
103216,SBI FLEXICAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SBI FLEXICAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sbiflexicapincomedistributioncumcapitalwithdrawal,multi_cap
103233,KOTAK LARGE & MIDCAP FUND - -,KOTAK LARGE & MIDCAP FUND - -,kotaklargemidcap,mid_cap
103234,KOTAK LARGE & MIDCAP FUND - -,KOTAK LARGE & MIDCAP FUND - -,kotaklargemidcap,mid_cap
103360,FRANKLIN INDIA SMALL CAP FUND-,FRANKLIN INDIA SMALL CAP FUND-,franklinsmallcap,small_cap
103361,FRANKLIN INDIA SMALL CAP FUND -,FRANKLIN INDIA SMALL CAP FUND -,franklinsmallcap,small_cap
103504,SBI LARGE CAP FUND-,SBI LARGE CAP FUND-,sbilargecap,large_cap
103616,SBI LARGE CAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SBI LARGE CAP FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sbilargecapincomedistributioncumcapitalwithdrawal,large_cap
103819,DSP LARGE & MID CAP FUND - -,DSP LARGE & MID CAP FUND - -,dsplargemidcap,mid_cap
103820,DSP LARGE & MID CAP FUND - -,DSP LARGE & MID CAP FUND - -,dsplargemidcap,mid_cap
104481,DSP MIDCAP FUND - -,DSP MIDCAP FUND - -,dspmidcap,mid_cap
104482,DSP MIDCAP FUND - -,DSP MIDCAP FUND - -,dspmidcap,mid_cap
104513,QUANT LARGE & MID CAP FUND -,QUANT LARGE & MID CAP FUND -,quantlargemidcap,mid_cap
104514,QUANT LARGE & MID CAP FUND - -,QUANT LARGE & MID CAP FUND - -,quantlargemidcap,mid_cap
104515,QUANT LARGE & MID CAP FUND - -,QUANT LARGE & MID CAP FUND - -,quantlargemidcap,mid_cap
104907,KOTAK MIDCAP FUND - - - & RE INVESTMENT OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,KOTAK MIDCAP FUND - - - & RE INVESTMENT OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,kotakmidcapreinvestmentofincomedistributioncumcapitalwithdrawal,mid_cap
104908,KOTAK MIDCAP FUND - -,KOTAK MIDCAP FUND - -,kotakmidcap,mid_cap
105000,SUNDARAM LARGE AND MIDCAP - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),SUNDARAM LARGE AND MIDCAP - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),sundaramlargeandmidcapincomedistributioncumcapitalwithdrawal,mid_cap
105001,SUNDARAM LARGE AND MIDCAP FUND -,SUNDARAM LARGE AND MIDCAP FUND -,sundaramlargeandmidcap,mid_cap
105067,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,FRANKLIN INDIA INDEX FUND- NSE NIFTY 50 INDEX FUND -,franklinindexnsenifty50index,index_fund
105503,INVESCO INDIA MIDCAP FUND - -,INVESCO INDIA MIDCAP FUND - -,invescomidcap,mid_cap
105504,INVESCO INDIA MIDCAP FUND - - ( / ),INVESCO INDIA MIDCAP FUND - - ( / ),invescomidcap,mid_cap
105757,HDFC MID CAP FUND -,HDFC MID CAP FUND -,hdfcmidcap,mid_cap
105758,HDFC MID CAP FUND -,HDFC MID CAP FUND -,hdfcmidcap,mid_cap
105804,ADITYA BIRLA SUN LIFE SMALL CAP FUND -,ADITYA BIRLA SUN LIFE SMALL CAP FUND -,adityabirlasunlifesmallcap,small_cap
105805,ADITYA BIRLA SUN LIFE SMALL CAP FUND - -,ADITYA BIRLA SUN LIFE SMALL CAP FUND - -,adityabirlasunlifesmallcap,small_cap
105875,DSP FLEXI CAP FUND - -,DSP FLEXI CAP FUND - -,dspflexicap,multi_cap
105989,DSP SMALL CAP FUND - -,DSP SMALL CAP FUND - -,dspsmallcap,small_cap
106143,INVESCO INDIA LARGE & MID CAP FUND - - ( / ),INVESCO INDIA LARGE & MID CAP FUND - - ( / ),invescolargemidcap,mid_cap
106144,INVESCO INDIA LARGE & MID CAP FUND - -,INVESCO INDIA LARGE & MID CAP FUND - -,invescolargemidcap,mid_cap
106193,KOTAK GOLD ETF,KOTAK GOLD ETF,kotakgoldetf,index_fund
106235,NIPPON INDIA LARGE CAP FUND- -,NIPPON INDIA LARGE CAP FUND- -,nipponlargecap,large_cap
106236,NIPPON INDIA LARGE CAP FUND -,NIPPON INDIA LARGE CAP FUND -,nipponlargecap,large_cap
106240,NIPPON INDIA LARGE CAP FUND-,NIPPON INDIA LARGE CAP FUND-,nipponlargecap,large_cap
106260,NIPPON INDIA MID CAP FUND - INSTITUTIONAL -,NIPPON INDIA MID CAP FUND - INSTITUTIONAL -,nipponmidcapinstitutional,mid_cap
106822,ICICI PRUDENTIAL SMALLCAP FUND -,ICICI PRUDENTIAL SMALLCAP FUND -,iciciprudentialsmallcap,small_cap
106823,ICICI PRUDENTIAL SMALLCAP FUND -,ICICI PRUDENTIAL SMALLCAP FUND -,iciciprudentialsmallcap,small_cap
106871,LIC MF LARGE CAP FUND- -,LIC MF LARGE CAP FUND- -,licmflargecap,large_cap
106929,KOTAK NIFTY PSU BANK ETF,KOTAK NIFTY PSU BANK ETF,kotakniftypsubanketf,index_fund
107352,INVESCO INDIA MULTICAP FUND - - ( / ),INVESCO INDIA MULTICAP FUND - - ( / ),invescomulticap,multi_cap
107353,INVESCO INDIA MULTICAP FUND - -,INVESCO INDIA MULTICAP FUND - -,invescomulticap,multi_cap
107578,MIRAE ASSET LARGE CAP FUND -,MIRAE ASSET LARGE CAP FUND -,miraeassetlargecap,large_cap
107579,MIRAE ASSET LARGE CAP FUND,MIRAE ASSET LARGE CAP FUND,miraeassetlargecap,large_cap
108403,TAURUS LARGE CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,TAURUS LARGE CAP FUND - - OF INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,tauruslargecapofincomedistributioncumcapitalwithdrawal,large_cap
108465,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,iciciprudentiallargecaperstwhilebluechip,large_cap
108466,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,ICICI PRUDENTIAL LARGE CAP FUND (ERSTWHILE BLUECHIP FUND) -,iciciprudentiallargecaperstwhilebluechip,large_cap
108479,QUANTUM NIFTY 50 ETF,QUANTUM NIFTY 50 ETF,quantumnifty50etf,index_fund
108594,BANDHAN FLEXI CAP FUND - -,BANDHAN FLEXI CAP FUND - -,bandhanflexicap,multi_cap
108595,BANDHAN FLEXI CAP FUND - -,BANDHAN FLEXI CAP FUND - -,bandhanflexicap,multi_cap
